#X,VehDyn_Parameters->yaw.angle_Angle(abs),VehDyn_Parameters->vehicle.x_Displacement(abs),VehDyn_Parameters->vehicle.y_Displacement(abs)
#Time(sec),Angle(degrees)_Real,Length(mm)_Real,Length(mm)_Real
4.170000E+00,-190.707966,-52027.246094,23082.349609
4.180000E+00,-190.664034,-52152.871094,23106.603516
4.190000E+00,-190.621591,-52278.507813,23130.708984
4.200000E+00,-190.580733,-52404.160156,23154.673828
4.210000E+00,-190.541596,-52529.824219,23178.505859
4.220000E+00,-190.504262,-52655.511719,23202.210938
4.230000E+00,-190.468759,-52781.230469,23225.794922
4.240000E+00,-190.435045,-52906.984375,23249.261719
4.250000E+00,-190.403011,-53032.781250,23272.623047
4.260000E+00,-190.372494,-53158.621094,23295.884766
4.270000E+00,-190.343302,-53284.507813,23319.052734
4.280000E+00,-190.315216,-53410.433594,23342.138672
4.290000E+00,-190.288032,-53536.390625,23365.148438
4.300000E+00,-190.261613,-53662.371094,23388.091797
4.310000E+00,-190.235863,-53788.359375,23410.976563
4.320000E+00,-190.210769,-53914.347656,23433.806641
4.330000E+00,-190.186358,-54040.328125,23456.585938
4.340000E+00,-190.162712,-54166.296875,23479.316406
4.350000E+00,-190.139926,-54292.250000,23502.000000
4.360000E+00,-190.118124,-54418.195313,23524.638672
4.370000E+00,-190.097347,-54544.140625,23547.228516
4.380000E+00,-190.077621,-54670.093750,23569.771484
4.390000E+00,-190.058934,-54796.062500,23592.269531
4.400000E+00,-190.041162,-54922.062500,23614.722656
4.410000E+00,-190.024182,-55048.085938,23637.134766
4.420000E+00,-190.007776,-55174.140625,23659.507813
4.430000E+00,-189.991779,-55300.214844,23681.847656
4.440000E+00,-189.976015,-55426.304688,23704.156250
4.450000E+00,-189.960347,-55552.402344,23726.437500
4.460000E+00,-189.944706,-55678.496094,23748.695313
4.470000E+00,-189.929106,-55804.582031,23770.929688
4.480000E+00,-189.913587,-55930.652344,23793.142578
4.490000E+00,-189.898233,-56056.699219,23815.333984
4.500000E+00,-189.883179,-56182.730469,23837.498047
4.510000E+00,-189.868536,-56308.753906,23859.636719
4.520000E+00,-189.854411,-56434.769531,23881.746094
4.530000E+00,-189.840832,-56560.792969,23903.824219
4.540000E+00,-189.827800,-56686.832031,23925.871094
4.550000E+00,-189.815561,-56812.898438,23947.884766
4.560000E+00,-189.804687,-56939.007813,23969.875000
4.570000E+00,-189.795084,-57065.164063,23991.839844
4.580000E+00,-189.786478,-57191.359375,24013.785156
4.590000E+00,-189.778555,-57317.589844,24035.712891
4.600000E+00,-189.771096,-57443.843750,24057.625000
4.610000E+00,-189.763952,-57570.117188,24079.523438
4.620000E+00,-189.757040,-57696.398438,24101.410156
4.630000E+00,-189.750332,-57822.679688,24123.285156
4.640000E+00,-189.743898,-57948.964844,24145.144531
4.650000E+00,-189.737847,-58075.246094,24166.990234
4.660000E+00,-189.732273,-58201.542969,24188.820313
4.670000E+00,-189.727260,-58327.855469,24210.630859
4.680000E+00,-189.722834,-58454.195313,24232.419922
4.690000E+00,-189.719009,-58580.570313,24254.189453
4.700000E+00,-189.715676,-58706.988281,24275.939453
4.710000E+00,-189.712712,-58833.453125,24297.671875
4.720000E+00,-189.709925,-58959.960938,24319.386719
4.730000E+00,-189.707165,-59086.511719,24341.089844
4.740000E+00,-189.704269,-59213.093750,24362.785156
4.750000E+00,-189.701141,-59339.699219,24384.472656
4.760000E+00,-189.697740,-59466.316406,24406.156250
4.770000E+00,-189.694092,-59592.941406,24427.835938
4.780000E+00,-189.690254,-59719.566406,24449.513672
4.790000E+00,-189.686388,-59846.187500,24471.187500
4.800000E+00,-189.682631,-59972.808594,24492.855469
4.810000E+00,-189.679162,-60099.441406,24514.517578
4.820000E+00,-189.676061,-60226.093750,24536.169922
4.830000E+00,-189.673411,-60352.765625,24557.812500
4.840000E+00,-189.671198,-60479.476563,24579.443359
4.850000E+00,-189.669395,-60606.222656,24601.066406
4.860000E+00,-189.667824,-60733.019531,24622.677734
4.870000E+00,-189.666348,-60859.855469,24644.285156
4.880000E+00,-189.664818,-60986.730469,24665.888672
4.890000E+00,-189.663083,-61113.632813,24687.490234
4.900000E+00,-189.661062,-61240.554688,24709.093750
4.910000E+00,-189.658726,-61367.484375,24730.701172
4.920000E+00,-189.656117,-61494.421875,24752.312500
4.930000E+00,-189.653303,-61621.351563,24773.925781
4.940000E+00,-189.650434,-61748.277344,24795.542969
4.950000E+00,-189.647688,-61875.207031,24817.160156
4.960000E+00,-189.645202,-62002.148438,24838.775391
4.970000E+00,-189.643057,-62129.105469,24860.388672
